run_id,type,final_t,final_nS,final_nR,max_nS,max_nR,total_steps,eradicated,resistance,mean_k2,total_kl_cost
285,uncontrolled,39.99995,0,12394,50,12396,26979,0,1,1.5,0.0
286,uncontrolled,39.99991,0,13500,52,13500,29219,0,1,1.5,0.0
287,uncontrolled,39.99937,0,6554,50,6554,14695,0,1,1.5,0.0
288,uncontrolled,4.15807,0,0,50,1,155,1,0,1.5,0.0
289,uncontrolled,6.62998,0,0,52,2,187,1,0,1.5,0.0
290,uncontrolled,39.99997,0,94134,50,94136,207221,0,1,1.5,0.0
291,uncontrolled,39.99998,0,33691,50,33692,73710,0,1,1.5,0.0
292,uncontrolled,39.99988,0,29922,51,29922,65855,0,1,1.5,0.0
293,uncontrolled,39.99998,0,11774,51,11777,25773,0,1,1.5,0.0
294,uncontrolled,15.58994,0,0,53,5,133,1,0,1.5,0.0
295,uncontrolled,39.99999,0,47611,52,47611,104124,0,1,1.5,0.0
296,uncontrolled,39.99996,0,17876,53,17877,39607,0,1,1.5,0.0
297,uncontrolled,7.47537,0,0,51,2,133,1,0,1.5,0.0
298,uncontrolled,6.47842,0,0,53,1,215,1,0,1.5,0.0
299,uncontrolled,39.99999,0,75056,51,75058,165413,0,1,1.5,0.0
300,uncontrolled,39.99999,0,36666,51,36666,81485,0,1,1.5,0.0
301,uncontrolled,3.14531,0,0,51,1,129,1,0,1.5,0.0
302,uncontrolled,3.83702,0,0,50,3,167,1,0,1.5,0.0
303,uncontrolled,39.9994,0,5372,50,5372,12159,0,1,1.5,0.0
304,uncontrolled,39.99999,0,29064,55,29064,63387,0,1,1.5,0.0
305,uncontrolled,39.99643,0,213,51,215,698,0,1,1.5,0.0
306,uncontrolled,39.99999,0,113190,51,113193,246651,0,1,1.5,0.0
307,uncontrolled,39.99983,0,6764,52,6764,15227,0,1,1.5,0.0
308,uncontrolled,39.99995,0,91682,50,91682,201341,0,1,1.5,0.0
309,uncontrolled,39.99999,0,167313,53,167314,367104,0,1,1.5,0.0
310,uncontrolled,39.99979,0,1569,51,1569,3538,0,1,1.5,0.0
311,uncontrolled,8.23857,0,0,50,1,221,1,0,1.5,0.0
312,uncontrolled,39.99997,0,53473,50,53473,117814,0,1,1.5,0.0
313,uncontrolled,5.5199,0,0,50,1,155,1,0,1.5,0.0
314,uncontrolled,39.9998,0,19938,50,19938,44007,0,1,1.5,0.0
315,uncontrolled,5.18385,0,0,54,1,197,1,0,1.5,0.0
316,uncontrolled,5.68029,0,0,50,1,131,1,0,1.5,0.0
317,uncontrolled,39.9988,0,911,51,911,2448,0,1,1.5,0.0
318,uncontrolled,39.99991,0,28977,50,28978,64460,0,1,1.5,0.0
319,uncontrolled,4.84297,0,0,50,1,113,1,0,1.5,0.0
320,uncontrolled,39.99789,0,2471,51,2471,5784,0,1,1.5,0.0
321,uncontrolled,39.99999,0,41764,50,41764,92345,0,1,1.5,0.0
322,uncontrolled,39.99998,0,42583,50,42583,94692,0,1,1.5,0.0
323,uncontrolled,39.99988,0,39504,50,39504,87024,0,1,1.5,0.0
324,uncontrolled,39.99997,0,55126,51,55126,121509,0,1,1.5,0.0
325,uncontrolled,39.99993,0,71562,52,71562,159083,0,1,1.5,0.0
326,uncontrolled,12.21919,0,0,50,2,143,1,0,1.5,0.0
327,uncontrolled,39.99988,0,13456,54,13456,29792,0,1,1.5,0.0
328,uncontrolled,39.99997,0,28616,52,28616,63959,0,1,1.5,0.0
329,uncontrolled,39.99961,0,2554,53,2554,5795,0,1,1.5,0.0
330,uncontrolled,39.99936,0,2359,52,2359,5417,0,1,1.5,0.0
331,uncontrolled,39.99996,0,36207,50,36208,80004,0,1,1.5,0.0
332,uncontrolled,4.32842,0,0,50,2,175,1,0,1.5,0.0
333,uncontrolled,4.73855,0,0,50,1,119,1,0,1.5,0.0
334,uncontrolled,39.99999,0,74084,50,74084,162920,0,1,1.5,0.0
335,uncontrolled,39.99997,0,68617,52,68617,151528,0,1,1.5,0.0
